ms,x,y
10425,250,1081,549
10435,723,1081,550
10445,698,1080,550
10455,575,1079,550
10525,825,1079,551
10636,166,1080,551
10685,949,1081,551
10695,538,1081,552
11306,460,1082,552
11346,083,1082,553
11546,272,1082,554
11586,136,1082,555
11625,932,1081,556
11646,148,1080,557
11655,790,1079,557
11665,832,1079,558
11677,130,1078,559
11685,914,1076,560
11695,973,1075,561
11706,028,1073,561
11716,449,1071,561
11725,965,1070,562
11736,065,1068,563
11745,856,1065,563
11757,111,1064,563
11766,318,1062,564
11775,850,1060,564
11786,238,1059,565
11796,083,1057,565
11806,245,1056,565
11816,245,1055,565
11826,197,1054,566
11837,038,1053,566
11845,996,1052,567
11855,785,1051,567
11876,001,1051,568
11886,154,1050,568
11946,039,1051,568
11956,234,1053,566
11966,190,1054,565
11976,513,1059,559
11986,418,1066,544
11996,071,1082,510
12006,086,1117,453
12016,811,1169,391
12026,006,1225,338
12037,205,1279,298
12046,706,1323,271
12056,004,1356,252
12067,061,1383,237
12076,862,1404,229
12086,323,1426,220
12095,965,1443,215
12106,073,1463,210
12116,478,1483,205
12126,144,1503,202
12136,007,1526,197
12146,034,1551,194
12157,362,1577,191
12166,121,1605,189
12176,138,1627,186
12186,332,1653,182
12196,630,1671,181
12206,334,1690,178
12216,152,1705,176
12226,471,1720,175
12237,624,1734,172
12246,146,1746,171
12256,158,1756,170
12266,255,1766,169
12276,265,1773,167
12286,536,1780,166
12296,080,1785,165
12305,867,1789,164
12317,702,1792,163
12326,087,1795,162
12336,070,1797,161
12346,342,1798,161
12356,107,1799,160
12366,358,1800,159
12376,338,1800,158
12385,977,1801,158
12396,424,1802,157
12406,618,1802,156
12426,026,1803,156
12436,494,1804,155
12447,238,1805,154
12466,272,1806,154
12476,592,1807,153
12486,236,1807,152
12496,285,1809,152
12506,533,1810,151
12536,310,1811,151
12546,235,1811,150
12556,461,1812,150
12566,397,1812,149
12586,326,1811,149
12606,529,1811,148
12616,347,1809,147
12626,205,1808,147
12636,137,1807,146
12646,371,1805,146
12656,442,1804,145
12666,883,1802,145
12676,464,1800,145
12686,087,1798,145
12696,235,1795,145
12706,098,1793,144
12716,333,1791,144
12727,251,1789,144
12736,136,1787,144
12746,250,1786,143
12758,146,1784,143
12766,094,1782,143
12786,454,1780,143
12796,537,1777,143
12806,364,1776,144
12816,566,1772,145
12826,365,1766,146
12837,082,1758,148
12846,671,1740,154
12856,518,1689,170
12866,410,1616,209
12876,719,1531,272
12886,206,1439,348
12896,740,1341,424
12906,667,1245,496
12917,018,1154,569
12926,246,1066,623
12936,565,983,672
12946,638,903,709
12956,616,831,743
12966,415,762,768
12976,617,697,793
12986,445,639,815
12996,481,591,831
13007,030,549,849
13017,099,508,862
13026,344,466,877
13037,220,429,887
13047,087,395,897
13057,125,361,907
13066,963,330,917
13076,378,303,924
13086,511,279,931
13096,432,255,938
13106,413,237,944
13116,596,220,948
13126,370,207,952
13136,340,193,956
13147,046,181,960
13156,680,170,964
13166,383,162,967
13176,968,153,969
13186,286,144,972
13196,783,137,974
13206,470,131,976
13216,411,126,979
13226,411,120,980
13236,622,115,982
13246,337,111,983
13256,446,107,985
13266,361,103,986
13276,526,99,987
13286,533,93,988
13296,585,90,989
13306,347,86,990
13317,245,80,990
13326,308,75,990
13336,381,70,990
13346,539,66,990
13356,764,63,990
13366,518,59,990
13376,570,57,989
13386,543,55,988
13396,893,54,987
13416,624,54,985
13426,416,54,984
13437,022,54,983
13446,922,54,982
13457,439,55,981
13466,747,57,980
13477,012,59,978
13486,897,60,976
13496,657,63,974
13506,610,66,972
13516,872,70,970
13526,676,76,968
13537,101,84,966
13546,776,96,964
13557,005,108,962
13566,855,123,959
13576,693,137,958
13586,493,147,956
13597,561,157,954
13606,678,163,953
13616,698,168,953
13626,794,171,952
13646,831,173,951
13686,897,172,951
13707,207,170,951
13717,422,169,951
13727,114,168,951
13737,186,167,951
13746,977,166,951
13757,171,165,951
13767,317,163,952
13786,920,161,952
13797,030,160,952
13816,884,159,952
13837,236,158,953
13917,068,160,952
13927,102,160,950
13936,731,163,947
13946,806,167,938
13957,890,181,912
13966,755,227,854
13976,686,299,787
13986,509,388,712
13996,938,486,639
14006,792,584,572
14016,810,681,519
14026,600,774,473
14036,893,869,437
14046,953,958,405
14056,731,1046,376
14066,850,1131,349
14076,858,1212,326
14086,716,1293,302
14096,882,1370,284
14106,853,1440,269
14116,987,1504,252
14127,562,1558,240
14136,699,1601,229
14146,790,1635,221
14158,782,1668,214
14166,654,1692,209
14176,744,1714,205
14186,911,1731,201
14197,064,1747,200
14206,760,1761,197
14216,637,1774,196
14226,955,1785,195
14237,473,1795,195
14246,920,1802,193
14258,088,1807,193
14267,099,1812,192
14277,274,1816,192
14287,244,1820,191
14298,080,1824,190
14307,100,1826,190
14317,429,1829,189
14327,100,1831,189
14337,195,1832,188
14347,263,1834,188
14358,116,1836,187
14367,549,1836,186
14377,895,1837,185
14387,542,1838,185
14407,151,1838,184
14426,956,1838,183
14457,025,1837,182
14467,759,1837,181
14477,582,1836,181
14487,173,1835,180
14507,050,1833,179
14517,971,1831,178
14526,944,1831,177
14537,333,1829,177
14547,780,1827,175
14557,405,1826,174
14567,267,1824,173
14576,941,1823,171
14587,011,1821,171
14597,260,1820,169
14606,848,1820,168
14617,141,1819,167
14628,531,1818,166
14637,717,1817,164
14658,167,1816,163
14667,000,1815,162
14677,089,1815,161
14697,012,1814,161
14707,566,1813,160
14717,162,1813,159
14727,293,1811,159
14737,133,1810,159
14757,449,1808,159
14767,323,1807,158
14776,908,1806,158
14787,307,1803,158
14797,565,1802,158
