ms,x,y
16592,966,797,313
16603,206,800,313
16613,243,804,313
16623,194,807,313
16632,644,811,313
16642,726,813,313
16652,848,816,312
16663,402,818,311
16672,889,819,310
16682,966,821,309
16692,808,823,308
16712,866,824,306
16722,719,825,304
16732,831,825,303
16743,048,825,301
16753,032,825,299
16762,792,825,296
16773,262,825,293
16783,274,825,289
16792,796,825,287
16802,941,825,283
16813,053,825,280
16824,098,824,278
16833,016,823,275
16843,090,823,272
16852,979,822,270
16863,215,822,269
16873,008,821,267
16882,895,820,265
16892,830,819,264
16904,267,818,263
16912,874,817,262
16922,824,816,260
16933,026,815,260
16943,124,814,259
16962,853,813,258
16973,060,812,257
16983,016,811,257
16993,444,810,257
17002,917,809,256
17023,117,808,256
17033,141,807,255
17063,614,806,255
17093,382,805,255
17194,339,805,256
17304,424,805,257
17343,518,804,257
17483,238,804,258
17563,292,805,258
17653,867,805,259
17723,460,805,260
17744,142,805,261
17763,572,805,263
17773,332,805,265
17783,698,805,267
17793,455,805,271
17803,204,805,275
17813,206,805,280
17823,753,804,285
17833,961,804,290
17843,073,803,294
17853,255,802,300
17863,600,801,302
17873,080,799,305
17883,124,797,308
17893,190,794,310
17903,484,790,311
17913,017,785,312
17923,402,778,313
17933,276,770,313
17944,327,760,313
17954,129,750,313
17963,440,738,313
17973,315,729,313
17983,433,719,312
17993,346,710,310
18003,272,702,309
18013,656,695,308
18024,270,689,307
18033,154,682,304
18043,580,677,303
18053,734,673,301
18063,795,669,299
18073,570,665,298
18083,662,662,296
18093,295,659,295
18103,341,656,293
18113,617,653,291
18123,220,652,289
18133,350,650,287
18143,768,648,284
18153,293,646,283
18163,448,645,281
18173,642,643,278
18183,619,641,276
18193,404,640,275
18203,417,638,273
18213,187,637,271
18223,784,637,269
18243,200,636,267
18253,440,636,266
18263,752,635,265
18273,277,635,263
18293,510,635,262
18303,437,635,261
18313,362,634,260
18323,475,634,259
18343,471,634,258
18353,621,634,257
18383,485,634,256
18413,590,634,255
18453,825,635,255
18544,288,635,254
18794,066,636,254
18883,997,637,254
18904,272,637,255
18954,327,638,255
18974,020,638,256
19034,009,638,257
19053,877,638,258
19064,102,639,258
19073,782,639,259
19083,652,639,260
19093,734,639,262
19104,050,640,263
19114,596,640,266
19123,859,641,269
19133,735,641,272
19144,022,642,276
19153,644,643,282
19163,714,644,287
19173,849,645,293
19183,966,647,298
19193,742,649,302
19203,755,651,305
19214,077,654,308
19224,175,658,311
19234,238,662,313
19243,925,669,315
19254,063,676,316
19264,396,683,317
19274,089,692,317
19283,898,702,317
19294,140,712,317
19303,966,722,317
19313,669,734,317
19323,680,744,317
19333,847,752,315
19344,161,761,314
19354,267,768,313
19364,224,775,313
19373,893,780,311
19384,185,786,310
19394,446,791,309
19403,883,795,308
19413,891,799,306
19424,655,802,305
19433,893,805,303
19443,725,807,302
19453,903,808,300
19464,133,810,298
19473,853,811,297
19484,379,813,295
19493,694,814,292
19503,966,814,290
19514,005,815,289
19523,754,815,286
19533,975,815,284
19544,408,816,283
19553,935,816,280
19564,017,816,278
19574,114,816,277
19583,954,816,275
19604,253,816,273
19613,931,816,271
19634,053,816,269
19644,205,816,268
19654,299,815,267
19664,467,814,266
19674,046,814,265
19694,051,813,264
19704,489,812,263
19723,952,811,263
19734,800,811,262
19744,647,811,261
19764,862,810,261
19774,141,810,260
19784,240,809,260
19974,037,808,260
20125,712,808,259
20404,649,808,260
20424,711,809,261
20434,857,809,262
20464,991,809,263
20474,474,809,264
20484,144,809,265
20494,511,809,266
20504,659,809,267
20514,859,809,268
20524,373,809,270
20534,666,809,271
20544,833,809,274
20554,427,809,276
20564,440,809,277
20574,585,809,280
20584,751,809,283
20594,615,809,284
20605,507,809,287
20614,340,808,290
20624,752,807,292
20634,505,805,294
20644,991,804,297
20654,481,801,299
20665,009,796,301
20674,456,788,303
20684,759,781,304
20694,380,771,307
20704,469,759,308
20714,840,747,308
20724,439,736,310
20734,458,726,310
20747,130,716,310
20754,270,707,310
20764,280,700,310
20774,419,693,309
